date_dec,ndec,ADEC,MDEC,md_dec,ndec_fem,ndec_hom,periode,weekday_dec,weekend
2016-07-20,11.7096774193548,2016,7,07-20,3.12903225806452,8.58064516129032,3,Wed,0
2016-07-21,11.7096774193548,2016,7,07-21,3.12903225806452,8.58064516129032,3,Thu,0
2016-07-22,11.7096774193548,2016,7,07-22,3.12903225806452,8.58064516129032,3,Fri,0
2016-07-23,11.7096774193548,2016,7,07-23,3.12903225806452,8.58064516129032,3,Sat,1
2016-07-24,11.7096774193548,2016,7,07-24,3.12903225806452,8.58064516129032,3,Sun,1
2016-07-25,11.7096774193548,2016,7,07-25,3.12903225806452,8.58064516129032,3,Mon,0
2016-07-26,11.7096774193548,2016,7,07-26,3.12903225806452,8.58064516129032,3,Tue,0
2016-07-27,11.7096774193548,2016,7,07-27,3.12903225806452,8.58064516129032,3,Wed,0
2016-07-28,11.7096774193548,2016,7,07-28,3.12903225806452,8.58064516129032,3,Thu,0
2016-07-29,11.7096774193548,2016,7,07-29,3.12903225806452,8.58064516129032,3,Fri,0
2016-07-30,11.7096774193548,2016,7,07-30,3.12903225806452,8.58064516129032,3,Sat,1
2016-07-31,11.7096774193548,2016,7,07-31,3.12903225806452,8.58064516129032,3,Sun,1
2016-08-01,10.6129032258065,2016,8,08-01,2.96774193548387,7.64516129032258,3,Mon,0
2016-08-02,10.6129032258065,2016,8,08-02,2.96774193548387,7.64516129032258,3,Tue,0
2016-08-03,10.6129032258065,2016,8,08-03,2.96774193548387,7.64516129032258,3,Wed,0
2016-08-04,10.6129032258065,2016,8,08-04,2.96774193548387,7.64516129032258,3,Thu,0
2016-08-05,10.6129032258065,2016,8,08-05,2.96774193548387,7.64516129032258,3,Fri,0
2016-08-06,10.6129032258065,2016,8,08-06,2.96774193548387,7.64516129032258,3,Sat,1
2016-08-07,10.6129032258065,2016,8,08-07,2.96774193548387,7.64516129032258,3,Sun,1
2016-08-08,10.6129032258065,2016,8,08-08,2.96774193548387,7.64516129032258,3,Mon,0
2016-08-09,10.6129032258065,2016,8,08-09,2.96774193548387,7.64516129032258,3,Tue,0
2016-08-10,10.6129032258065,2016,8,08-10,2.96774193548387,7.64516129032258,3,Wed,0
2016-08-11,10.6129032258065,2016,8,08-11,2.96774193548387,7.64516129032258,3,Thu,0
2016-08-12,10.6129032258065,2016,8,08-12,2.96774193548387,7.64516129032258,3,Fri,0
2016-08-13,10.6129032258065,2016,8,08-13,2.96774193548387,7.64516129032258,3,Sat,1
2016-08-14,10.6129032258065,2016,8,08-14,2.96774193548387,7.64516129032258,3,Sun,1
2016-08-15,10.6129032258065,2016,8,08-15,2.96774193548387,7.64516129032258,3,Mon,0
2016-08-16,10.6129032258065,2016,8,08-16,2.96774193548387,7.64516129032258,3,Tue,0
2016-08-17,10.6129032258065,2016,8,08-17,2.96774193548387,7.64516129032258,3,Wed,0
2016-08-18,10.6129032258065,2016,8,08-18,2.96774193548387,7.64516129032258,3,Thu,0
2016-08-19,10.6129032258065,2016,8,08-19,2.96774193548387,7.64516129032258,3,Fri,0
2016-08-20,10.6129032258065,2016,8,08-20,2.96774193548387,7.64516129032258,3,Sat,1
2016-08-21,10.6129032258065,2016,8,08-21,2.96774193548387,7.64516129032258,3,Sun,1
2016-08-22,10.6129032258065,2016,8,08-22,2.96774193548387,7.64516129032258,3,Mon,0
2016-08-23,10.6129032258065,2016,8,08-23,2.96774193548387,7.64516129032258,3,Tue,0
2016-08-24,10.6129032258065,2016,8,08-24,2.96774193548387,7.64516129032258,3,Wed,0
2016-08-25,10.6129032258065,2016,8,08-25,2.96774193548387,7.64516129032258,3,Thu,0
2016-08-26,10.6129032258065,2016,8,08-26,2.96774193548387,7.64516129032258,3,Fri,0
2016-08-27,10.6129032258065,2016,8,08-27,2.96774193548387,7.64516129032258,3,Sat,1
